"DateTime";"Luftfugtighed"
"2020-04-01 00:00:00";82.2
"2020-04-02 00:00:00";78.7
"2020-04-03 00:00:00";67.9
"2020-04-04 00:00:00";82.6
"2020-04-05 00:00:00";66.7
"2020-04-06 00:00:00";60.3
"2020-04-07 00:00:00";70.2
"2020-04-08 00:00:00";68.1
"2020-04-09 00:00:00";69.4
"2020-04-10 00:00:00";72.6
"2020-04-11 00:00:00";82
"2020-04-12 00:00:00";72.1
"2020-04-13 00:00:00";52.2
"2020-04-14 00:00:00";62.5
"2020-04-15 00:00:00";74.8
"2020-04-16 00:00:00";70.2
"2020-04-17 00:00:00";65.2
"2020-04-18 00:00:00";58.2
"2020-04-19 00:00:00";60.1
"2020-04-20 00:00:00";62.1
"2020-04-21 00:00:00";59.7
"2020-04-22 00:00:00";58.6
"2020-04-23 00:00:00";58.8
"2020-04-24 00:00:00";72.9
"2020-04-25 00:00:00";66.7
"2020-04-26 00:00:00";72
"2020-04-27 00:00:00";82.5
"2020-04-28 00:00:00";77.5
"2020-04-29 00:00:00";84.9
"2020-04-30 00:00:00";92.2
