"DateTime";"Luftfugtighed"
"2020-08-01 00:00:00";76.4
"2020-08-02 00:00:00";84.4
"2020-08-03 00:00:00";76.6
"2020-08-04 00:00:00";73
"2020-08-05 00:00:00";80
"2020-08-06 00:00:00";68.8
"2020-08-07 00:00:00";65.1
"2020-08-08 00:00:00";67.6
"2020-08-09 00:00:00";67.9
"2020-08-10 00:00:00";72.9
"2020-08-11 00:00:00";76.6
"2020-08-12 00:00:00";70.5
"2020-08-13 00:00:00";67.8
"2020-08-14 00:00:00";68.1
"2020-08-15 00:00:00";75.7
"2020-08-16 00:00:00";67.3
"2020-08-17 00:00:00";60.7
"2020-08-18 00:00:00";81.8
"2020-08-19 00:00:00";81.5
"2020-08-20 00:00:00";90.5
"2020-08-21 00:00:00";86.1
"2020-08-22 00:00:00";79.1
"2020-08-23 00:00:00";83.6
"2020-08-24 00:00:00";75.3
"2020-08-25 00:00:00";72.2
"2020-08-26 00:00:00";90.7
"2020-08-27 00:00:00";84.1
"2020-08-28 00:00:00";89.4
"2020-08-29 00:00:00";88.6
"2020-08-30 00:00:00";82.7
"2020-08-31 00:00:00";72.7
