"DateTime";"Luftfugtighed"
"2020-07-01 00:00:00";81.3
"2020-07-02 00:00:00";73.2
"2020-07-03 00:00:00";79.3
"2020-07-04 00:00:00";95.6
"2020-07-05 00:00:00";87.6
"2020-07-06 00:00:00";78.8
"2020-07-07 00:00:00";77.3
"2020-07-08 00:00:00";75
"2020-07-09 00:00:00";75
"2020-07-10 00:00:00";81.3
"2020-07-11 00:00:00";73.5
"2020-07-12 00:00:00";79.6
"2020-07-13 00:00:00";76.3
"2020-07-14 00:00:00";89.6
"2020-07-15 00:00:00";84.6
"2020-07-16 00:00:00";80.1
"2020-07-17 00:00:00";80
"2020-07-18 00:00:00";79.3
"2020-07-19 00:00:00";84.5
"2020-07-20 00:00:00";75.3
"2020-07-21 00:00:00";70.5
"2020-07-22 00:00:00";70.4
"2020-07-23 00:00:00";80.7
"2020-07-24 00:00:00";85.7
"2020-07-25 00:00:00";83.4
"2020-07-26 00:00:00";89.4
"2020-07-27 00:00:00";83.8
"2020-07-28 00:00:00";79.8
"2020-07-29 00:00:00";82.2
"2020-07-30 00:00:00";77.7
"2020-07-31 00:00:00";78.7
