"DateTime";"Luftfugtighed"
"2020-06-01 00:00:00";60.8
"2020-06-02 00:00:00";61.5
"2020-06-03 00:00:00";71
"2020-06-04 00:00:00";80.5
"2020-06-05 00:00:00";77.7
"2020-06-06 00:00:00";79
"2020-06-07 00:00:00";78.7
"2020-06-08 00:00:00";79.9
"2020-06-09 00:00:00";74.8
"2020-06-10 00:00:00";75.3
"2020-06-11 00:00:00";65.7
"2020-06-12 00:00:00";78.6
"2020-06-13 00:00:00";84.4
"2020-06-14 00:00:00";65.6
"2020-06-15 00:00:00";62.3
"2020-06-16 00:00:00";65.8
"2020-06-17 00:00:00";76.2
"2020-06-18 00:00:00";76.4
"2020-06-19 00:00:00";89.4
"2020-06-20 00:00:00";88.5
"2020-06-21 00:00:00";77
"2020-06-22 00:00:00";78.3
"2020-06-23 00:00:00";73.9
"2020-06-24 00:00:00";73.7
"2020-06-25 00:00:00";69.6
"2020-06-26 00:00:00";72.5
"2020-06-27 00:00:00";79.7
"2020-06-28 00:00:00";82
"2020-06-29 00:00:00";74.8
"2020-06-30 00:00:00";85.8
