"DateTime";"Luftfugtighed"
"2020-05-01 00:00:00";87.6
"2020-05-02 00:00:00";86.7
"2020-05-03 00:00:00";78.8
"2020-05-04 00:00:00";70.4
"2020-05-05 00:00:00";65.9
"2020-05-06 00:00:00";73.6
"2020-05-07 00:00:00";74.2
"2020-05-08 00:00:00";76.3
"2020-05-09 00:00:00";73.7
"2020-05-10 00:00:00";74.5
"2020-05-11 00:00:00";57.5
"2020-05-12 00:00:00";68.7
"2020-05-13 00:00:00";62.2
"2020-05-14 00:00:00";64.5
"2020-05-15 00:00:00";76
"2020-05-16 00:00:00";75.9
"2020-05-17 00:00:00";79.8
"2020-05-18 00:00:00";91
"2020-05-19 00:00:00";78.5
"2020-05-20 00:00:00";74.8
"2020-05-21 00:00:00";72.5
"2020-05-22 00:00:00";76.5
"2020-05-23 00:00:00";82.2
"2020-05-24 00:00:00";85.1
"2020-05-25 00:00:00";78.7
"2020-05-26 00:00:00";81.9
"2020-05-27 00:00:00";76.4
"2020-05-28 00:00:00";72.2
"2020-05-29 00:00:00";73.2
"2020-05-30 00:00:00";65.7
"2020-05-31 00:00:00";64.4
