"DateTime";"Luftfugtighed"
"2020-03-01 00:00:00";82.5
"2020-03-02 00:00:00";87.8
"2020-03-03 00:00:00";92.6
"2020-03-04 00:00:00";90.9
"2020-03-05 00:00:00";90.5
"2020-03-06 00:00:00";89.7
"2020-03-07 00:00:00";88.9
"2020-03-08 00:00:00";89.1
"2020-03-09 00:00:00";91.7
"2020-03-10 00:00:00";94.2
"2020-03-11 00:00:00";80.5
"2020-03-12 00:00:00";81.5
"2020-03-13 00:00:00";79.5
"2020-03-14 00:00:00";71.4
"2020-03-15 00:00:00";80.7
"2020-03-16 00:00:00";84.2
"2020-03-17 00:00:00";85.9
"2020-03-18 00:00:00";88.9
"2020-03-19 00:00:00";80.7
"2020-03-20 00:00:00";71
"2020-03-21 00:00:00";62.6
"2020-03-22 00:00:00";64.9
"2020-03-23 00:00:00";58.5
"2020-03-24 00:00:00";54.8
"2020-03-25 00:00:00";53.2
"2020-03-26 00:00:00";63.4
"2020-03-27 00:00:00";66.4
"2020-03-28 00:00:00";70.7
"2020-03-29 00:00:00";52.2
"2020-03-30 00:00:00";62.5
"2020-03-31 00:00:00";67.6
