"DateTime";"Luftfugtighed"
"2020-10-01 00:00:00";88.9
"2020-10-02 00:00:00";88.4
"2020-10-03 00:00:00";85.2
"2020-10-04 00:00:00";87
"2020-10-05 00:00:00";83.5
"2020-10-06 00:00:00";92.8
"2020-10-07 00:00:00";90.9
"2020-10-08 00:00:00";94.1
"2020-10-09 00:00:00";84.6
"2020-10-10 00:00:00";87.1
"2020-10-11 00:00:00";89.6
"2020-10-12 00:00:00";89.8
"2020-10-13 00:00:00";88.6
"2020-10-14 00:00:00";77.1
"2020-10-15 00:00:00";74.3
"2020-10-16 00:00:00";85.8
"2020-10-17 00:00:00";83.9
"2020-10-18 00:00:00";73.1
"2020-10-19 00:00:00";81.7
"2020-10-20 00:00:00";86.1
"2020-10-21 00:00:00";96.9
"2020-10-22 00:00:00";89.2
"2020-10-23 00:00:00";87.2
"2020-10-24 00:00:00";88.1
"2020-10-25 00:00:00";90.8
"2020-10-26 00:00:00";92.9
"2020-10-27 00:00:00";88.6
"2020-10-28 00:00:00";87.1
"2020-10-29 00:00:00";90.7
"2020-10-30 00:00:00";98
"2020-10-31 00:00:00";97
