"DateTime";"Luftfugtighed"
"2020-09-01 00:00:00";73.1
"2020-09-02 00:00:00";77.4
"2020-09-03 00:00:00";86.5
"2020-09-04 00:00:00";77.5
"2020-09-05 00:00:00";79.1
"2020-09-06 00:00:00";79
"2020-09-07 00:00:00";75.3
"2020-09-08 00:00:00";84.4
"2020-09-09 00:00:00";87.4
"2020-09-10 00:00:00";72.7
"2020-09-11 00:00:00";79.2
"2020-09-12 00:00:00";83
"2020-09-13 00:00:00";85.7
"2020-09-14 00:00:00";85.8
"2020-09-15 00:00:00";87.5
"2020-09-16 00:00:00";82.7
"2020-09-17 00:00:00";67.1
"2020-09-18 00:00:00";78.8
"2020-09-19 00:00:00";88.9
"2020-09-20 00:00:00";93
"2020-09-21 00:00:00";89.1
"2020-09-22 00:00:00";85.6
"2020-09-23 00:00:00";86.9
"2020-09-24 00:00:00";78.1
"2020-09-25 00:00:00";91.3
"2020-09-26 00:00:00";92.2
"2020-09-27 00:00:00";90.1
"2020-09-28 00:00:00";92
"2020-09-29 00:00:00";84.7
"2020-09-30 00:00:00";89.8
