"DateTime";"Solskin"
"2020-06-01 00:00:00";14.7
"2020-06-02 00:00:00";14.8
"2020-06-03 00:00:00";11.7
"2020-06-04 00:00:00";3.2
"2020-06-05 00:00:00";5.9
"2020-06-06 00:00:00";5.8
"2020-06-07 00:00:00";6.1
"2020-06-08 00:00:00";8.2
"2020-06-09 00:00:00";6.6
"2020-06-10 00:00:00";5.6
"2020-06-11 00:00:00";5.5
"2020-06-12 00:00:00";0.4
"2020-06-13 00:00:00";2
"2020-06-14 00:00:00";15.4
"2020-06-15 00:00:00";15.7
"2020-06-16 00:00:00";13.6
"2020-06-17 00:00:00";9.9
"2020-06-18 00:00:00";9.8
"2020-06-19 00:00:00";1.8
"2020-06-20 00:00:00";2
"2020-06-21 00:00:00";9.7
"2020-06-22 00:00:00";10.9
"2020-06-23 00:00:00";15.6
"2020-06-24 00:00:00";14.9
"2020-06-25 00:00:00";15.5
"2020-06-26 00:00:00";14.5
"2020-06-27 00:00:00";8
"2020-06-28 00:00:00";4.3
"2020-06-29 00:00:00";7.7
"2020-06-30 00:00:00";2.8
