"DateTime";"Laveste";"Højeste";"Middel"
"2020-04-01 00:00:00";3;10.3;5.9
"2020-04-02 00:00:00";1.6;10.4;5.9
"2020-04-03 00:00:00";-0.8;9.1;4.3
"2020-04-04 00:00:00";-5.4;11.6;4.9
"2020-04-05 00:00:00";-2;17.2;8.2
"2020-04-06 00:00:00";2.2;21.2;10.4
"2020-04-07 00:00:00";1.1;16.8;9.7
"2020-04-08 00:00:00";-2.2;18.7;9.2
"2020-04-09 00:00:00";0.7;13.7;7.6
"2020-04-10 00:00:00";-2.4;13.2;5.2
"2020-04-11 00:00:00";-3.6;14.2;5.4
"2020-04-12 00:00:00";3.5;19.6;9.7
"2020-04-13 00:00:00";0.2;9.9;5
"2020-04-14 00:00:00";-4.3;11.5;4.8
"2020-04-15 00:00:00";4.3;15.4;8.1
"2020-04-16 00:00:00";0.9;14.7;8.3
"2020-04-17 00:00:00";-3.4;14.9;6.6
"2020-04-18 00:00:00";-5;14.6;6.5
"2020-04-19 00:00:00";-2.1;15.9;7.5
"2020-04-20 00:00:00";-3.5;17.5;8.6
"2020-04-21 00:00:00";-1.5;19.1;10
"2020-04-22 00:00:00";-0.8;19.8;10.6
"2020-04-23 00:00:00";-1.5;21.1;11.4
"2020-04-24 00:00:00";1.4;16.8;9.4
"2020-04-25 00:00:00";0.3;16.2;9
"2020-04-26 00:00:00";-0.3;14.6;7.4
"2020-04-27 00:00:00";1.5;16.5;7.9
"2020-04-28 00:00:00";0.5;14.2;7.9
"2020-04-29 00:00:00";-0.8;12.2;7
"2020-04-30 00:00:00";2.4;13.2;7.6
