"DateTime";"Laveste";"Højeste";"Middel"
"2020-08-01 00:00:00";6.7;26.8;18.1
"2020-08-02 00:00:00";10.3;24.1;16.9
"2020-08-03 00:00:00";6.7;22.1;15
"2020-08-04 00:00:00";3.8;22.2;14.2
"2020-08-05 00:00:00";9.3;27.3;16.6
"2020-08-06 00:00:00";8.4;30.8;20.6
"2020-08-07 00:00:00";10.6;32;22
"2020-08-08 00:00:00";9.8;31.8;22
"2020-08-09 00:00:00";11.4;32.4;21.3
"2020-08-10 00:00:00";10.6;31.2;21.2
"2020-08-11 00:00:00";9.9;31.1;21
"2020-08-12 00:00:00";13.4;28.3;20.5
"2020-08-13 00:00:00";10.6;29.6;20.2
"2020-08-14 00:00:00";7;28.8;19.9
"2020-08-15 00:00:00";7;31;19.9
"2020-08-16 00:00:00";9.2;31;21.9
"2020-08-17 00:00:00";11.1;31.3;22.7
"2020-08-18 00:00:00";11.3;28.3;19.7
"2020-08-19 00:00:00";10;26.8;18.8
"2020-08-20 00:00:00";11.7;24.8;18.7
"2020-08-21 00:00:00";11.8;27.7;20.3
"2020-08-22 00:00:00";13.7;25.8;18.9
"2020-08-23 00:00:00";11.6;23.7;16.3
"2020-08-24 00:00:00";8;21.6;14.6
"2020-08-25 00:00:00";4;22.4;14.1
"2020-08-26 00:00:00";12.9;22.2;16.5
"2020-08-27 00:00:00";7.2;20.7;14.6
"2020-08-28 00:00:00";7.1;20.9;13.9
"2020-08-29 00:00:00";8.6;21.6;15
"2020-08-30 00:00:00";7.3;21.7;14.8
"2020-08-31 00:00:00";5.5;21;14.3
