"DateTime";"Laveste";"Højeste";"Middel"
"2020-12-01 00:00:00";1.1;7.2;3.8
"2020-12-02 00:00:00";1;6.4;3.7
"2020-12-03 00:00:00";-0.6;5.7;1.8
"2020-12-04 00:00:00";-1.2;6.7;2.7
"2020-12-05 00:00:00";-0.4;8.9;4.2
"2020-12-06 00:00:00";-0.7;8.9;4.7
"2020-12-07 00:00:00";4.2;8.3;6.5
"2020-12-08 00:00:00";0.7;7.2;5
"2020-12-09 00:00:00";1.8;6.2;4.1
"2020-12-10 00:00:00";-0.1;5.5;3.1
"2020-12-11 00:00:00";0;4.5;2.2
"2020-12-12 00:00:00";0.3;6;3.5
"2020-12-13 00:00:00";1.2;6.4;3.6
"2020-12-14 00:00:00";1.5;9.1;5.4
"2020-12-15 00:00:00";4.3;8.9;7.2
"2020-12-16 00:00:00";2.4;9.4;6.4
"2020-12-17 00:00:00";4.1;8.8;6.9
"2020-12-18 00:00:00";4.4;8.9;7
"2020-12-19 00:00:00";1.9;9.6;5.5
"2020-12-20 00:00:00";3.4;9.4;7.1
"2020-12-21 00:00:00";3.9;8.1;6.1
"2020-12-22 00:00:00";2.9;9.5;6.5
"2020-12-23 00:00:00";-1.9;7.7;3.9
"2020-12-24 00:00:00";-3.5;6.2;2.1
"2020-12-25 00:00:00";-8.2;5.2;0.1
"2020-12-26 00:00:00";-4.9;7.7;3
"2020-12-27 00:00:00";0.3;7.9;3.7
"2020-12-28 00:00:00";0.5;5.6;2.9
"2020-12-29 00:00:00";-0.1;5.7;2.7
"2020-12-30 00:00:00";-0.1;5.7;3.3
"2020-12-31 00:00:00";-0.3;6.3;2.8
