"DateTime";"Laveste";"Højeste";"Middel"
"2020-01-01 00:00:00";-0.2;7.1;4.7
"2020-01-02 00:00:00";-0.1;8.1;4.1
"2020-01-03 00:00:00";1.2;9;5.7
"2020-01-04 00:00:00";-2.2;7.6;4.1
"2020-01-05 00:00:00";-4.2;7.7;3.6
"2020-01-06 00:00:00";3.6;8.2;6.1
"2020-01-07 00:00:00";2.1;8.2;5.8
"2020-01-08 00:00:00";2.2;10.7;7.1
"2020-01-09 00:00:00";0.6;10.2;5.4
"2020-01-10 00:00:00";-2.2;9.4;4.9
"2020-01-11 00:00:00";-2.1;9;4.8
"2020-01-12 00:00:00";2.5;8.8;6.3
"2020-01-13 00:00:00";1.3;7.2;4.8
"2020-01-14 00:00:00";3.7;11.1;6.8
"2020-01-15 00:00:00";4.5;11.9;8.2
"2020-01-16 00:00:00";2;8.9;6.3
"2020-01-17 00:00:00";3;9.5;6.3
"2020-01-18 00:00:00";1.6;7.9;5.4
"2020-01-19 00:00:00";-1.5;7.3;4.1
"2020-01-20 00:00:00";-1.9;7.8;5.6
"2020-01-21 00:00:00";4.2;8.5;6.4
"2020-01-22 00:00:00";-2.3;8.8;4.9
"2020-01-23 00:00:00";-3.3;8.2;5.1
"2020-01-24 00:00:00";3.1;7.9;6
"2020-01-25 00:00:00";2;8.3;5.5
"2020-01-26 00:00:00";1.9;7;4.4
"2020-01-27 00:00:00";2.1;8.1;5.4
"2020-01-28 00:00:00";1.6;7;5
"2020-01-29 00:00:00";1.1;7.8;4.7
"2020-01-30 00:00:00";2;8.7;5.9
"2020-01-31 00:00:00";2.7;9;7.2
