"DateTime";"Laveste";"Højeste";"Middel"
"2020-07-01 00:00:00";10.9;22.1;15.5
"2020-07-02 00:00:00";7.6;21.7;14.9
"2020-07-03 00:00:00";3.5;19.7;13.2
"2020-07-04 00:00:00";11.7;19.3;15
"2020-07-05 00:00:00";10.7;21.8;15.9
"2020-07-06 00:00:00";8.8;19.3;13.3
"2020-07-07 00:00:00";6.7;18.7;12.5
"2020-07-08 00:00:00";6.3;18.2;12.4
"2020-07-09 00:00:00";4.9;19.4;12.7
"2020-07-10 00:00:00";1.8;18.4;11.9
"2020-07-11 00:00:00";7.5;19.5;13.3
"2020-07-12 00:00:00";5.2;19.2;13.5
"2020-07-13 00:00:00";6.8;21.6;14.4
"2020-07-14 00:00:00";8.5;22.1;14.7
"2020-07-15 00:00:00";7.4;20.4;14.4
"2020-07-16 00:00:00";6.4;21;14.9
"2020-07-17 00:00:00";5.7;24.1;16
"2020-07-18 00:00:00";9.5;25.5;17.9
"2020-07-19 00:00:00";11.8;27.9;18.3
"2020-07-20 00:00:00";8.8;23.3;15.1
"2020-07-21 00:00:00";7.5;20.8;14.2
"2020-07-22 00:00:00";4.7;20.8;13.9
"2020-07-23 00:00:00";3.4;21.5;13.8
"2020-07-24 00:00:00";7.9;21.7;15.6
"2020-07-25 00:00:00";5.1;23.3;15.7
"2020-07-26 00:00:00";12.1;23.8;16.9
"2020-07-27 00:00:00";7.8;23.1;16.4
"2020-07-28 00:00:00";11.2;23.6;16.3
"2020-07-29 00:00:00";10.3;20.1;13.9
"2020-07-30 00:00:00";9.6;20.2;14.3
"2020-07-31 00:00:00";6.2;24.6;16.1
