"DateTime";"Laveste";"Højeste";"Middel"
"2020-06-01 00:00:00";3.4;25.5;16.2
"2020-06-02 00:00:00";5;26.2;16.9
"2020-06-03 00:00:00";5.7;24.6;15.4
"2020-06-04 00:00:00";8.5;20.6;13.3
"2020-06-05 00:00:00";7.6;17.9;12
"2020-06-06 00:00:00";6.5;16.4;10.7
"2020-06-07 00:00:00";5.3;20.2;12.3
"2020-06-08 00:00:00";3.5;21.7;12.1
"2020-06-09 00:00:00";1.8;20.4;11.6
"2020-06-10 00:00:00";3.1;23.2;13.8
"2020-06-11 00:00:00";11.1;24.2;17
"2020-06-12 00:00:00";11.9;24;16.6
"2020-06-13 00:00:00";12.3;24.8;17.4
"2020-06-14 00:00:00";9.4;24.1;17.7
"2020-06-15 00:00:00";4.9;25.6;17.2
"2020-06-16 00:00:00";4.7;27.2;18.2
"2020-06-17 00:00:00";8.9;26.3;18.6
"2020-06-18 00:00:00";9.7;26;18.5
"2020-06-19 00:00:00";13.1;26.5;17.4
"2020-06-20 00:00:00";11.6;22.8;16.5
"2020-06-21 00:00:00";8.3;24.2;16.9
"2020-06-22 00:00:00";7.8;22.6;16.4
"2020-06-23 00:00:00";4.9;24.2;16.6
"2020-06-24 00:00:00";8.5;27.1;18.9
"2020-06-25 00:00:00";8.7;29;20.7
"2020-06-26 00:00:00";12.3;29.2;21.9
"2020-06-27 00:00:00";13.9;29.2;21.1
"2020-06-28 00:00:00";10.6;26.8;17.9
"2020-06-29 00:00:00";8.8;23.7;15.7
"2020-06-30 00:00:00";10.8;19.7;14.6
