"DateTime";"Laveste";"Højeste";"Middel"
"2020-03-01 00:00:00";1;7.9;4.9
"2020-03-02 00:00:00";-0.8;9.6;4.3
"2020-03-03 00:00:00";-2;7.9;4
"2020-03-04 00:00:00";-4.2;9.2;3.5
"2020-03-05 00:00:00";-2.7;7.9;2.9
"2020-03-06 00:00:00";-1.6;7;3
"2020-03-07 00:00:00";-3.8;9.4;3
"2020-03-08 00:00:00";-0.1;10.2;6.4
"2020-03-09 00:00:00";2.2;11.5;6.4
"2020-03-10 00:00:00";1.8;9.1;5.9
"2020-03-11 00:00:00";4;11;6.8
"2020-03-12 00:00:00";1.2;9.2;5.6
"2020-03-13 00:00:00";-3.8;8.7;3.9
"2020-03-14 00:00:00";-7.4;7.9;2
"2020-03-15 00:00:00";-0.1;11.3;6.4
"2020-03-16 00:00:00";2.3;12;7
"2020-03-17 00:00:00";1.1;11.4;6.7
"2020-03-18 00:00:00";2.9;11;7.3
"2020-03-19 00:00:00";-0.3;11.3;5.7
"2020-03-20 00:00:00";-4.1;11;4.3
"2020-03-21 00:00:00";-5.6;9;2.5
"2020-03-22 00:00:00";-4.4;7.3;2
"2020-03-23 00:00:00";-4.3;8.3;2.3
"2020-03-24 00:00:00";-3;10.5;3.7
"2020-03-25 00:00:00";-4.5;12;4.6
"2020-03-26 00:00:00";-6.6;11.8;4.1
"2020-03-27 00:00:00";-7.1;12.7;4.4
"2020-03-28 00:00:00";-5.3;12.7;4.9
"2020-03-29 00:00:00";-3;6.6;2.4
"2020-03-30 00:00:00";-4.5;10;3.7
"2020-03-31 00:00:00";-7.8;9.5;2.7
