"DateTime";"Laveste";"Højeste";"Middel"
"2020-11-01 00:00:00";8.6;14.4;11.6
"2020-11-02 00:00:00";8.6;17.7;14
"2020-11-03 00:00:00";4;13.7;9.6
"2020-11-04 00:00:00";4.6;13.1;8.5
"2020-11-05 00:00:00";5.1;12.9;10.1
"2020-11-06 00:00:00";4.8;14.7;11.1
"2020-11-07 00:00:00";-0.4;12.2;8.7
"2020-11-08 00:00:00";-1.5;13.8;6.5
"2020-11-09 00:00:00";0;10.1;7.5
"2020-11-10 00:00:00";4;9.8;7.2
"2020-11-11 00:00:00";3.1;9.2;5.8
"2020-11-12 00:00:00";4.8;10.3;7.4
"2020-11-13 00:00:00";3.7;11.1;8.1
"2020-11-14 00:00:00";-0.2;11.9;8.3
"2020-11-15 00:00:00";8;15.2;11.3
"2020-11-16 00:00:00";6.8;12.7;9.6
"2020-11-17 00:00:00";7.3;12.7;10.4
"2020-11-18 00:00:00";8.7;13.1;11.2
"2020-11-19 00:00:00";1.2;12.2;7
"2020-11-20 00:00:00";-2.1;9.4;4.1
"2020-11-21 00:00:00";1.7;11.3;7.8
"2020-11-22 00:00:00";4.6;10.5;8
"2020-11-23 00:00:00";3.4;10.5;7.2
"2020-11-24 00:00:00";5.7;11.2;8.7
"2020-11-25 00:00:00";2.6;10.8;7
"2020-11-26 00:00:00";-1.4;10.5;7
"2020-11-27 00:00:00";-4.1;9.7;2.9
"2020-11-28 00:00:00";-4.8;6.8;1
"2020-11-29 00:00:00";-1.2;5.9;1.1
"2020-11-30 00:00:00";-1.5;7.8;1.7
