"DateTime";"Laveste";"Højeste";"Middel"
"2020-10-01 00:00:00";8.3;18.8;13.9
"2020-10-02 00:00:00";12.4;18.2;14.6
"2020-10-03 00:00:00";13.2;18.6;15.1
"2020-10-04 00:00:00";7.1;18.1;13.9
"2020-10-05 00:00:00";6;18.6;12.3
"2020-10-06 00:00:00";3.9;16;11.5
"2020-10-07 00:00:00";6.3;16.5;11.9
"2020-10-08 00:00:00";7.7;14.8;10.9
"2020-10-09 00:00:00";0.8;16;10.4
"2020-10-10 00:00:00";3.8;14.1;8.8
"2020-10-11 00:00:00";0.8;14.1;8.2
"2020-10-12 00:00:00";-0.4;15.3;8.1
"2020-10-13 00:00:00";1.5;15.2;9.1
"2020-10-14 00:00:00";2.3;12.3;8.1
"2020-10-15 00:00:00";1.1;12;7.4
"2020-10-16 00:00:00";-1.9;14.1;7.1
"2020-10-17 00:00:00";-2.2;13.4;8.1
"2020-10-18 00:00:00";-0.2;12.6;7.9
"2020-10-19 00:00:00";-2.6;12.8;7.2
"2020-10-20 00:00:00";2.1;13.3;9.1
"2020-10-21 00:00:00";8;16.1;12
"2020-10-22 00:00:00";9.6;16.6;13
"2020-10-23 00:00:00";6.6;15.5;10.9
"2020-10-24 00:00:00";7.2;14.7;11.2
"2020-10-25 00:00:00";8.6;15;12
"2020-10-26 00:00:00";6.2;13.6;9.8
"2020-10-27 00:00:00";6;13;9.1
"2020-10-28 00:00:00";6.3;13.9;9.8
"2020-10-29 00:00:00";2.8;12.8;8.7
"2020-10-30 00:00:00";2.7;13.9;10.1
"2020-10-31 00:00:00";4;14.3;11.1
