"DateTime";"Laveste";"Højeste";"Middel"
"2020-09-01 00:00:00";2.4;21.1;13.6
"2020-09-02 00:00:00";6.4;21.6;14.8
"2020-09-03 00:00:00";3.9;21.6;14
"2020-09-04 00:00:00";10.9;21.6;15.9
"2020-09-05 00:00:00";7.5;19.7;13.7
"2020-09-06 00:00:00";4.7;18.9;12.6
"2020-09-07 00:00:00";3.6;19.6;13.3
"2020-09-08 00:00:00";10.9;21.7;16
"2020-09-09 00:00:00";10.5;19.7;15.7
"2020-09-10 00:00:00";4;18.5;12.9
"2020-09-11 00:00:00";3.8;19.3;13.1
"2020-09-12 00:00:00";10.3;20.1;14.3
"2020-09-13 00:00:00";9.6;20.6;15.1
"2020-09-14 00:00:00";8.8;24.9;17.5
"2020-09-15 00:00:00";7.1;28.2;16.8
"2020-09-16 00:00:00";5.2;25.2;14.3
"2020-09-17 00:00:00";1.7;17.7;11
"2020-09-18 00:00:00";-1.3;19.6;10.6
"2020-09-19 00:00:00";0.8;20.9;12.1
"2020-09-20 00:00:00";2.6;20.5;12.1
"2020-09-21 00:00:00";3.3;22.1;12.6
"2020-09-22 00:00:00";1;24.1;13.1
"2020-09-23 00:00:00";1.7;23.2;14.8
"2020-09-24 00:00:00";7.5;21.3;14.9
"2020-09-25 00:00:00";5.3;20;12.5
"2020-09-26 00:00:00";4.2;19.5;12.7
"2020-09-27 00:00:00";11.7;23.7;16.1
"2020-09-28 00:00:00";8.2;18;14.4
"2020-09-29 00:00:00";6.2;19.1;13.4
"2020-09-30 00:00:00";8.2;19.1;13.9
