"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-04-01 00:00:00";7.5;15.4;20.9
"2020-04-02 00:00:00";9.7;22.6;34.3
"2020-04-03 00:00:00";8.4;21.3;27.4
"2020-04-04 00:00:00";3.7;12.4;15.2
"2020-04-05 00:00:00";4.6;11.1;14.8
"2020-04-06 00:00:00";4.9;13.5;16.5
"2020-04-07 00:00:00";4;12;18
"2020-04-08 00:00:00";3.5;10.3;15.4
"2020-04-09 00:00:00";5.4;12;16.5
"2020-04-10 00:00:00";3.7;10.3;13
"2020-04-11 00:00:00";3;13.5;18.8
"2020-04-12 00:00:00";6;16.8;22.4
"2020-04-13 00:00:00";7.9;19.2;26
"2020-04-14 00:00:00";5.5;15.8;22.1
"2020-04-15 00:00:00";8.3;18.6;28.5
"2020-04-16 00:00:00";6.4;17.1;25.3
"2020-04-17 00:00:00";2.8;9.2;12.9
"2020-04-18 00:00:00";3.1;10.3;13.3
"2020-04-19 00:00:00";2.9;9.3;13.5
"2020-04-20 00:00:00";2.7;9.3;13
"2020-04-21 00:00:00";3.8;13.3;17
"2020-04-22 00:00:00";3.1;10.5;13.7
"2020-04-23 00:00:00";2.5;10.2;13.3
"2020-04-24 00:00:00";5;14.2;19.3
"2020-04-25 00:00:00";3.7;13;18.4
"2020-04-26 00:00:00";3.5;9.4;11.9
"2020-04-27 00:00:00";3.2;11;13.6
"2020-04-28 00:00:00";2.9;8.8;11.9
"2020-04-29 00:00:00";4.5;14.8;17.2
"2020-04-30 00:00:00";5.5;18.4;21.7
