"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-08-01 00:00:00";4;10.7;14.1
"2020-08-02 00:00:00";4.2;12.7;15.4
"2020-08-03 00:00:00";3.7;13.8;16.6
"2020-08-04 00:00:00";3.5;12.1;14.7
"2020-08-05 00:00:00";4.8;15;19.5
"2020-08-06 00:00:00";3;9;10.5
"2020-08-07 00:00:00";2.6;8.8;11.7
"2020-08-08 00:00:00";2;6.7;8.9
"2020-08-09 00:00:00";2.2;8.9;11.1
"2020-08-10 00:00:00";2.8;9.4;12.9
"2020-08-11 00:00:00";3.7;11.3;13.7
"2020-08-12 00:00:00";4.1;10.6;12.5
"2020-08-13 00:00:00";3;9.3;12.6
"2020-08-14 00:00:00";2.3;8;10.1
"2020-08-15 00:00:00";2.2;8;10.2
"2020-08-16 00:00:00";2.7;9.6;12
"2020-08-17 00:00:00";3.5;9.7;12.8
"2020-08-18 00:00:00";2.5;14.4;20.1
"2020-08-19 00:00:00";2;7.5;11.3
"2020-08-20 00:00:00";3;11.5;13.4
"2020-08-21 00:00:00";4.8;16.8;22.3
"2020-08-22 00:00:00";5.8;16;24.8
"2020-08-23 00:00:00";5.5;15.2;18.4
"2020-08-24 00:00:00";3.3;13;16.4
"2020-08-25 00:00:00";3.5;16;19.7
"2020-08-26 00:00:00";4.5;17.5;22.1
"2020-08-27 00:00:00";3.9;20.3;23.4
"2020-08-28 00:00:00";3.1;13.2;18.1
"2020-08-29 00:00:00";2.6;11.9;14.4
"2020-08-30 00:00:00";2.3;10.5;12.9
"2020-08-31 00:00:00";2.6;10.1;11.7
