"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-12-01 00:00:00";2.3;11.6;13.7
"2020-12-02 00:00:00";2.8;13;14.7
"2020-12-03 00:00:00";6.4;17.7;21.6
"2020-12-04 00:00:00";6.1;17.2;20
"2020-12-05 00:00:00";4.5;13.6;15.9
"2020-12-06 00:00:00";3.7;11.9;14
"2020-12-07 00:00:00";6.7;16;19.4
"2020-12-08 00:00:00";3;11.6;13.5
"2020-12-09 00:00:00";3.5;12.7;15.2
"2020-12-10 00:00:00";4;13.2;15.4
"2020-12-11 00:00:00";5.6;14.4;17.1
"2020-12-12 00:00:00";5;14;16
"2020-12-13 00:00:00";3.3;11.3;13.7
"2020-12-14 00:00:00";5.9;18.1;21.9
"2020-12-15 00:00:00";3.7;12.4;14.4
"2020-12-16 00:00:00";3.6;13;15.6
"2020-12-17 00:00:00";5;14.3;16.8
"2020-12-18 00:00:00";5.4;13.2;16
"2020-12-19 00:00:00";5;15.2;17.9
"2020-12-20 00:00:00";4.5;12.1;14.2
"2020-12-21 00:00:00";4.8;13.3;16.8
"2020-12-22 00:00:00";5.9;17;20.4
"2020-12-23 00:00:00";2.7;13.5;17.5
"2020-12-24 00:00:00";3.6;16.4;20
"2020-12-25 00:00:00";2.9;12;15.8
"2020-12-26 00:00:00";5.6;19.2;22.4
"2020-12-27 00:00:00";10.6;24;29.7
"2020-12-28 00:00:00";4.8;17.1;20.1
"2020-12-29 00:00:00";2.9;11.5;13.6
"2020-12-30 00:00:00";3.5;15;17.4
"2020-12-31 00:00:00";3.2;14.5;16.9
