"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-02-01 00:00:00";8.5;19.5;25.9
"2020-02-02 00:00:00";6.2;21.1;26.5
"2020-02-03 00:00:00";4;14.9;20.2
"2020-02-04 00:00:00";5.9;20;25.7
"2020-02-05 00:00:00";5.3;17;20.9
"2020-02-06 00:00:00";6.2;15.4;22.6
"2020-02-07 00:00:00";3.2;13.6;16.5
"2020-02-08 00:00:00";5.2;13.5;16
"2020-02-09 00:00:00";10.7;25;36.4
"2020-02-10 00:00:00";9.6;20.9;28.7
"2020-02-11 00:00:00";8.2;20.8;31
"2020-02-12 00:00:00";8.7;19.9;27.4
"2020-02-13 00:00:00";4.5;17.1;21.2
"2020-02-14 00:00:00";3;15.9;18.3
"2020-02-15 00:00:00";7.1;20.8;27.8
"2020-02-16 00:00:00";10.3;23.6;31.6
"2020-02-17 00:00:00";10.8;22.2;29.5
"2020-02-18 00:00:00";8.1;17.4;22.4
"2020-02-19 00:00:00";5.3;14.7;19.7
"2020-02-20 00:00:00";7.3;17.6;26.3
"2020-02-21 00:00:00";8.7;19.3;24.3
"2020-02-22 00:00:00";11.9;22.3;29.8
"2020-02-23 00:00:00";8.5;23.8;30.9
"2020-02-24 00:00:00";5.2;15.9;19.6
"2020-02-25 00:00:00";8.7;25.1;30.8
"2020-02-26 00:00:00";4.2;20.8;24.7
"2020-02-27 00:00:00";2.5;11.6;15.3
"2020-02-28 00:00:00";5.1;14.7;20.6
"2020-02-29 00:00:00";6.7;19.2;30.4
