"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-01-01 00:00:00";6.4;17.1;21.7
"2020-01-02 00:00:00";7.4;18.2;23.7
"2020-01-03 00:00:00";7.1;21.4;29.1
"2020-01-04 00:00:00";7.8;20.7;28.8
"2020-01-05 00:00:00";4.5;14.4;18.2
"2020-01-06 00:00:00";5.5;14.5;17.3
"2020-01-07 00:00:00";6;19.7;24.9
"2020-01-08 00:00:00";7.3;18.4;24.7
"2020-01-09 00:00:00";4.4;14.6;18.7
"2020-01-10 00:00:00";4.3;15.6;18.3
"2020-01-11 00:00:00";7.6;20.8;25.2
"2020-01-12 00:00:00";6;18.5;22.1
"2020-01-13 00:00:00";4.8;15.8;20.1
"2020-01-14 00:00:00";8.3;21.9;27.5
"2020-01-15 00:00:00";8.5;21.3;29.8
"2020-01-16 00:00:00";6.4;15.4;20.7
"2020-01-17 00:00:00";5.1;13.9;18.5
"2020-01-18 00:00:00";6.5;17.9;20.8
"2020-01-19 00:00:00";4.4;14.9;20.1
"2020-01-20 00:00:00";5.7;14.7;18.6
"2020-01-21 00:00:00";7.8;17.1;22.1
"2020-01-22 00:00:00";5;16.3;21.6
"2020-01-23 00:00:00";5.3;14.6;18.7
"2020-01-24 00:00:00";5.7;15.3;17.7
"2020-01-25 00:00:00";4.6;13.7;17.9
"2020-01-26 00:00:00";5.2;12.9;16.9
"2020-01-27 00:00:00";5;14.7;17.3
"2020-01-28 00:00:00";4.8;14.5;18.8
"2020-01-29 00:00:00";5.9;15.8;21.5
"2020-01-30 00:00:00";6.2;18.6;23
"2020-01-31 00:00:00";7;17.2;20.9
