"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-07-01 00:00:00";5;17.1;20.3
"2020-07-02 00:00:00";4.5;15.9;19.9
"2020-07-03 00:00:00";4.1;16.9;21.9
"2020-07-04 00:00:00";6;16.9;20.6
"2020-07-05 00:00:00";7.9;20.6;25.9
"2020-07-06 00:00:00";8.6;20.5;26.3
"2020-07-07 00:00:00";6.8;18.1;22.1
"2020-07-08 00:00:00";5.3;14.5;17.5
"2020-07-09 00:00:00";3;11;13.1
"2020-07-10 00:00:00";3.6;15.6;18.3
"2020-07-11 00:00:00";6.4;15.4;19.1
"2020-07-12 00:00:00";5.6;16.4;20.1
"2020-07-13 00:00:00";3.9;14.5;17.6
"2020-07-14 00:00:00";3.5;12.4;14.3
"2020-07-15 00:00:00";2.7;9;11.4
"2020-07-16 00:00:00";2.6;8.5;10.1
"2020-07-17 00:00:00";2.6;9;11.8
"2020-07-18 00:00:00";3;10.2;12.1
"2020-07-19 00:00:00";2.8;9.8;11.5
"2020-07-20 00:00:00";4.9;14.8;18.7
"2020-07-21 00:00:00";5.6;13.4;17.1
"2020-07-22 00:00:00";4.9;13.7;16.1
"2020-07-23 00:00:00";3.7;12.1;14.8
"2020-07-24 00:00:00";5.3;14.8;18.2
"2020-07-25 00:00:00";3.2;11.1;13.2
"2020-07-26 00:00:00";4.8;13.8;16.8
"2020-07-27 00:00:00";4;11.9;15.8
"2020-07-28 00:00:00";6.5;17.2;20.7
"2020-07-29 00:00:00";7.5;19.4;23.7
"2020-07-30 00:00:00";6.9;16.8;21.1
"2020-07-31 00:00:00";3.1;13.3;16.1
