"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-06-01 00:00:00";2.2;8.2;11
"2020-06-02 00:00:00";2.3;9.1;12.4
"2020-06-03 00:00:00";2.9;10.3;12.9
"2020-06-04 00:00:00";5.1;15.2;18.4
"2020-06-05 00:00:00";4.8;17.6;22.8
"2020-06-06 00:00:00";5.7;18.5;23.1
"2020-06-07 00:00:00";3.4;14.4;17.7
"2020-06-08 00:00:00";2.8;9.3;11.5
"2020-06-09 00:00:00";2.1;7.9;9.4
"2020-06-10 00:00:00";2.7;10.6;13.4
"2020-06-11 00:00:00";4.9;14.7;17.5
"2020-06-12 00:00:00";5;13.5;18.2
"2020-06-13 00:00:00";5;16.8;19.6
"2020-06-14 00:00:00";5.2;13.5;17.2
"2020-06-15 00:00:00";2.3;8.3;10.8
"2020-06-16 00:00:00";2.5;8.4;10.9
"2020-06-17 00:00:00";2.2;7.7;10.1
"2020-06-18 00:00:00";2.5;8.3;12.9
"2020-06-19 00:00:00";2.5;8.8;11.9
"2020-06-20 00:00:00";4.3;12.1;14
"2020-06-21 00:00:00";2.9;9.7;11.2
"2020-06-22 00:00:00";4.3;13;17.5
"2020-06-23 00:00:00";3.2;11.5;15.1
"2020-06-24 00:00:00";1.9;7.7;8.9
"2020-06-25 00:00:00";3.1;9.8;12.7
"2020-06-26 00:00:00";3.7;9.6;11.8
"2020-06-27 00:00:00";3.1;13.2;16.7
"2020-06-28 00:00:00";3.9;12.9;16.4
"2020-06-29 00:00:00";5;16.1;20.6
"2020-06-30 00:00:00";7.7;20.1;23.6
