"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-05-01 00:00:00";3;12;15.2
"2020-05-02 00:00:00";2.8;10.2;12.2
"2020-05-03 00:00:00";5;11.8;15.1
"2020-05-04 00:00:00";4.8;12.3;15.6
"2020-05-05 00:00:00";4.1;12.8;17.3
"2020-05-06 00:00:00";6.3;14.2;17.9
"2020-05-07 00:00:00";5.1;13.3;16.4
"2020-05-08 00:00:00";4.9;13.1;16.6
"2020-05-09 00:00:00";2.4;9.1;11.5
"2020-05-10 00:00:00";4.7;16.6;20.8
"2020-05-11 00:00:00";5.6;16.8;19.8
"2020-05-12 00:00:00";5.9;15.5;19.8
"2020-05-13 00:00:00";3.1;12.1;14.2
"2020-05-14 00:00:00";5.8;16.6;20.8
"2020-05-15 00:00:00";7;16.4;21
"2020-05-16 00:00:00";8.2;17.3;22.8
"2020-05-17 00:00:00";7.5;16.4;23.9
"2020-05-18 00:00:00";4.4;12.9;15.3
"2020-05-19 00:00:00";5.6;11.9;15.9
"2020-05-20 00:00:00";2.5;8.2;9.7
"2020-05-21 00:00:00";2;7.7;8.7
"2020-05-22 00:00:00";5.1;18.1;21.4
"2020-05-23 00:00:00";5.3;14.1;18.5
"2020-05-24 00:00:00";7.2;15.3;19.3
"2020-05-25 00:00:00";4.7;15.6;19
"2020-05-26 00:00:00";2.3;9.6;11.2
"2020-05-27 00:00:00";4.9;13.4;15.7
"2020-05-28 00:00:00";3.7;12.4;14.5
"2020-05-29 00:00:00";2.2;10.9;12.5
"2020-05-30 00:00:00";2.9;9.8;14.7
"2020-05-31 00:00:00";3.5;12.1;19
