"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-03-01 00:00:00";8.1;20.7;26.8
"2020-03-02 00:00:00";3.6;12.3;15.9
"2020-03-03 00:00:00";3.1;10.7;13.7
"2020-03-04 00:00:00";3.3;12.3;14.8
"2020-03-05 00:00:00";2.5;11.7;14.1
"2020-03-06 00:00:00";4.9;13.3;15.9
"2020-03-07 00:00:00";3.1;12;14.8
"2020-03-08 00:00:00";7.3;16.7;20.9
"2020-03-09 00:00:00";3.6;10.1;12.2
"2020-03-10 00:00:00";6.4;15.1;19.2
"2020-03-11 00:00:00";8.2;17.8;22.5
"2020-03-12 00:00:00";10.3;25.1;33.6
"2020-03-13 00:00:00";6.3;17.9;22.1
"2020-03-14 00:00:00";3.9;15.6;18
"2020-03-15 00:00:00";7.8;18.5;24.6
"2020-03-16 00:00:00";4.6;12.3;18
"2020-03-17 00:00:00";6.2;13.8;18.2
"2020-03-18 00:00:00";6.6;17.3;21.1
"2020-03-19 00:00:00";4.2;14.5;18.1
"2020-03-20 00:00:00";4.5;14.2;17.3
"2020-03-21 00:00:00";3.4;11.7;15.2
"2020-03-22 00:00:00";4;12.7;15.5
"2020-03-23 00:00:00";4.5;13.6;16.2
"2020-03-24 00:00:00";5.3;14.1;16.9
"2020-03-25 00:00:00";4.6;13;15
"2020-03-26 00:00:00";3;8.7;10.5
"2020-03-27 00:00:00";2.5;8.5;11
"2020-03-28 00:00:00";4.8;22.7;26.9
"2020-03-29 00:00:00";7.5;24.5;29.9
"2020-03-30 00:00:00";5;13.9;17.7
"2020-03-31 00:00:00";4.7;15.8;20.5
