"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-11-01 00:00:00";6;17.5;21.6
"2020-11-02 00:00:00";9.1;19.7;26.3
"2020-11-03 00:00:00";6;20.3;24.5
"2020-11-04 00:00:00";6.3;23.1;28.1
"2020-11-05 00:00:00";7.4;19.6;24
"2020-11-06 00:00:00";4.6;15.2;18.2
"2020-11-07 00:00:00";2.7;11.5;14.3
"2020-11-08 00:00:00";1.9;11.4;14
"2020-11-09 00:00:00";4;9.9;12.1
"2020-11-10 00:00:00";3.9;9.1;12.1
"2020-11-11 00:00:00";3.2;10.1;13.7
"2020-11-12 00:00:00";4.4;11.9;15.1
"2020-11-13 00:00:00";3.6;14;16
"2020-11-14 00:00:00";3.2;13;15.9
"2020-11-15 00:00:00";5.8;15.5;21.6
"2020-11-16 00:00:00";6;18.2;22.7
"2020-11-17 00:00:00";6.4;14.9;17
"2020-11-18 00:00:00";8;18.1;22.4
"2020-11-19 00:00:00";9.3;21.1;28.2
"2020-11-20 00:00:00";4.1;17.3;23.2
"2020-11-21 00:00:00";8.1;19.8;23.6
"2020-11-22 00:00:00";7.4;20.4;27.3
"2020-11-23 00:00:00";5.9;16.8;20.9
"2020-11-24 00:00:00";6.5;15.2;18.8
"2020-11-25 00:00:00";4.7;13.1;16.8
"2020-11-26 00:00:00";4;12.4;15.7
"2020-11-27 00:00:00";1.3;8.3;10
"2020-11-28 00:00:00";2.2;9.6;11.4
"2020-11-29 00:00:00";2;9.2;11.1
"2020-11-30 00:00:00";4.2;15.5;17.6
