"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-10-01 00:00:00";5.5;13.7;17.9
"2020-10-02 00:00:00";6;15.3;18.9
"2020-10-03 00:00:00";8.3;17.2;21.2
"2020-10-04 00:00:00";4.7;17.7;21.4
"2020-10-05 00:00:00";4.1;13.5;17.8
"2020-10-06 00:00:00";3.9;14;15.5
"2020-10-07 00:00:00";3.5;12.3;14.8
"2020-10-08 00:00:00";4.3;15;17.6
"2020-10-09 00:00:00";4.4;16.4;20.8
"2020-10-10 00:00:00";4.2;13.6;17.3
"2020-10-11 00:00:00";2.8;14;15.7
"2020-10-12 00:00:00";2.2;9.8;12.2
"2020-10-13 00:00:00";2.3;15;18.1
"2020-10-14 00:00:00";6.2;21.6;27
"2020-10-15 00:00:00";4.5;20.3;24.7
"2020-10-16 00:00:00";2.5;12.3;14.5
"2020-10-17 00:00:00";3.3;15.5;19.4
"2020-10-18 00:00:00";4.5;15.8;18.7
"2020-10-19 00:00:00";3.2;12.4;15.5
"2020-10-20 00:00:00";4.9;15.8;18
"2020-10-21 00:00:00";4.5;17.5;25.2
"2020-10-22 00:00:00";7.7;20.9;25.7
"2020-10-23 00:00:00";4.9;16.5;20
"2020-10-24 00:00:00";4.7;19;23.5
"2020-10-25 00:00:00";6;17.7;21.6
"2020-10-26 00:00:00";4.1;13.8;17.6
"2020-10-27 00:00:00";6.1;16.2;21
"2020-10-28 00:00:00";6;17;21.6
"2020-10-29 00:00:00";3.5;13.4;17.6
"2020-10-30 00:00:00";3.6;13.7;16.3
"2020-10-31 00:00:00";3.3;13.5;16.2
