"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-09-01 00:00:00";2.5;13;17.1
"2020-09-02 00:00:00";2.6;12.4;14.7
"2020-09-03 00:00:00";3.8;14.9;17
"2020-09-04 00:00:00";5.4;14.7;19.3
"2020-09-05 00:00:00";5.1;14.9;21.3
"2020-09-06 00:00:00";4.8;15.1;18.8
"2020-09-07 00:00:00";4.7;14.8;17.9
"2020-09-08 00:00:00";6.4;17.2;22
"2020-09-09 00:00:00";6.7;18.1;23
"2020-09-10 00:00:00";5.2;16;19.5
"2020-09-11 00:00:00";4.2;13.8;17.8
"2020-09-12 00:00:00";5.7;16.2;23.2
"2020-09-13 00:00:00";6;14.7;18.2
"2020-09-14 00:00:00";3.7;13.4;16.7
"2020-09-15 00:00:00";1.6;7.5;9.8
"2020-09-16 00:00:00";4.4;16.6;22.7
"2020-09-17 00:00:00";2.7;14.6;18.4
"2020-09-18 00:00:00";2.7;13;15.9
"2020-09-19 00:00:00";1.7;7.3;9.7
"2020-09-20 00:00:00";1.5;7.6;8.5
"2020-09-21 00:00:00";2.3;11.6;15
"2020-09-22 00:00:00";2.1;10;12.7
"2020-09-23 00:00:00";3.4;13.1;17.9
"2020-09-24 00:00:00";6.1;19.5;23.7
"2020-09-25 00:00:00";4;18.2;22.9
"2020-09-26 00:00:00";4.5;19.2;25.3
"2020-09-27 00:00:00";5.7;15;18.9
"2020-09-28 00:00:00";3.7;11.4;13.7
"2020-09-29 00:00:00";3;10.2;12.2
"2020-09-30 00:00:00";3.1;10.6;12.7
